date,location,crop,report
,Lianga,Corn,The corn field looks unhealthy.
2026-10-25,Tandag,Corn,The corn plants are turning yellow and growing slowly.
2026-10-26,Barobo,Corn,Strong winds knocked down several corn stalks last week.
2026-08-25,Marihatag,Rice,Heavy rain flooded part of the rice field.
2026-08-25,Tago,Coconut,Beetles have been boring into the coconut trunks.
2026-08-24,Lianga,Coconut,Beetles have been boring into the coconut trunks.
2026-09-23,Cantilan,Vegetables,Heavy storm damaged the vegetable garden beds.
2026-09-10,Barobo,Banana,Banana plants are not growing well due to lack of fertilizer.
2026-10-19,Lianga,Rice,There are many small insects around the plants.
2026-09-03,Marihatag,Corn,White fungus is appearing on some corn cobs.
2026-08-15,Cantilan,Corn,White fungus is appearing on some corn cobs.
2026-10-08,Tandag,Corn,The soil is very dry and the corn plants are wilting.
2026-09-15,Marihatag,Banana,Banana leaves have dark spots spreading quickly.
2026-10-10,Lianga,Rice,The field has not received enough water.
2026-10-04,Tago,Coconut,Many coconut leaves are becoming brown.
2026-09-14,Tandag,Banana,Banana leaves have dark spots spreading quickly.
2026-08-16,San Miguel,Vegetables,Cabbage leaves are being eaten by caterpillars.
2026-08-05,Marihatag,Corn,Strong winds knocked down several corn stalks last week.
2026-09-18,Tandag,Rice,Many insects are eating the rice leaves.
2026-10-07,Tago,Corn,Strong winds knocked down several corn stalks last week.
2026-10-19,Bislig,Vegetables,Tomato plants are wilting despite regular watering.
2026-09-10,Tandag,Banana,Banana plants are not growing well due to lack of fertilizer.
2026-09-04,San Miguel,Banana,Banana plants are not growing well due to lack of fertilizer.
2026-09-18,Barobo,Rice,Some rice plants have brown patches on the stems.
2026-10-10,Lianga,Corn,The corn plants are turning yellow and growing slowly.
2026-10-14,Bislig,Banana,Banana leaves have dark spots spreading quickly.
2026-09-24,Barobo,Coconut,Coconut fronds are drooping and turning yellow.
2026-09-21,Tandag,Corn,"Corn leaves are curling and look pale, maybe lacking nutrients."
2026-08-08,Tandag,Rice,The rice leaves have yellow spots and several plants are dying.
2026-10-04,Lianga,Rice,There are many small insects around the plants.
2026-10-03,Bislig,Coconut,Coconut trees are producing fewer nuts than usual.
2026-09-14,Tandag,Corn,"Corn leaves are curling and look pale, maybe lacking nutrients."
2026-08-02,Tago,Corn,White fungus is appearing on some corn cobs.
2026-08-19,Tandag,Banana,Banana leaves have dark spots spreading quickly.
2026-09-23,Barobo,Vegetables,Cabbage leaves are being eaten by caterpillars.
2026-09-22,San Miguel,Banana,Strong rains caused some banana plants to fall over.
2026-08-18,San Miguel,Rice,The rice leaves have yellow spots and several plants are dying.
2026-10-02,Lianga,Banana,Banana leaves have dark spots spreading quickly.
2026-09-14,Lianga,Rice,There are many small insects around the plants.
2026-08-23,Cantilan,Corn,Strong winds knocked down several corn stalks last week.
2026-10-04,Tandag,Corn,Strong winds knocked down several corn stalks last week.
2026-10-19,Tago,Corn,The corn plants are turning yellow and growing slowly.
2026-09-15,  Bislig  ,Coconut,  Coconut leaves are turning brown.  
2026-09-10,Tago,Rice,
2026-09-14,Lianga,Rice,There are many small insects around the plants.
2026-08-09,Lianga,Coconut,Coconut trees are producing fewer nuts than usual.
2026-09-28,Tandag,Corn,Several corn plants have damaged leaves from worms.
2026-09-28,Tago,Coconut,Coconut fronds are drooping and turning yellow.
